,0
PHNY_peak_wind_direction,74.55840371039886
PHNY_wind_gust,19.934364038371687
PHNY_peak_wind_speed,23.466307836059066
A1741_wind_speed,3.4659493229299527
A1741_wind_direction,310.8387583439169
COOPKMLH1_precip_accum_24_hour,0.05250610900309593
COOPKBSH1_air_temp_low_24_hour,56.117214590241595
COOPKBSH1_air_temp_high_24_hour,72.42838694418165
COOPKBSH1_air_temp,59.381514865502595
PHOG_wind_gust,21.592607467736777
KHKH1_precip_accum_24_hour,0.17494293239683933
PHMK_peak_wind_direction,78.09751307493195
PHMK_peak_wind_speed,24.220085766581466
PHMK_wind_gust,18.728803640649556
PKKH1_precip_accum_24_hour,0.6706761864762705
PHNY_air_temp_high_24_hour,78.7424060150376
PHNY_air_temp_low_24_hour,64.96097744360902
PHMK_air_temp_low_24_hour,69.51321398834304
PHMK_air_temp_high_24_hour,83.67513738551207
HNAH1_pressure,1016.3034066735966
HNAH1_air_temp,74.82991784490225
HNAH1_wind_speed,4.811034731833232
HNAH1_wind_gust,8.672181117303321
HNAH1_wind_direction,126.82846580915131
HNAH1_precip_accum_24_hour,0.2245182724252493
AR427_wind_direction,99.19028391447075
PHOG_air_temp_low_24_hour,68.56254635352286
PHOG_air_temp_high_24_hour,86.30869851729818
AR427_wind_gust,12.252596137139262
AR427_precip_accum_24_hour,0.1116431292396241
AR427_pressure,984.8352296875577
AR427_air_temp,72.37755990115296
AR427_wind_speed,6.418302972604851
PUKH1_precip_accum_24_hour,0.0997545008183306
KACH1_precip_accum_24_hour,0.04174251742517426
P36_wind_direction,123.64667379267081
P36_wind_speed,12.743431600435654
P36_precip_accum_24_hour,0.04981209150326798
P36_pressure,1015.6829705776995
P36_air_temp,77.1302703835716
P36_wind_gust,19.43547698888865
WUKH1_precip_accum_24_hour,0.09967113276492083
KLFH1_wind_speed,3.5819669509495418
KLFH1_air_temp,54.44879642077916
KLFH1_peak_wind_speed,8.194658864472473
KLFH1_wind_gust,8.194658864472473
KLFH1_wind_direction,168.9498825214958
KLFH1_peak_wind_direction,172.91700156835952
KLFH1_precip_accum_24_hour,0.08782995951417004
PHMK_dew_point_temperature,65.93958235145209
WWKH1_precip_accum_24_hour,0.6981763040841085
AP834_wind_direction,89.38480954720877
PHNY_dew_point_temperature,66.56690233225062
PHNY_visibility,9.846585438187253
PHNY_wind_direction,99.9166936091771
PHNY_wind_speed,9.246309854144318
PHNY_air_temp,71.3272389690606
PHNY_pressure,970.701461408016
MLKH1_air_temp_high_24_hour,75.76610334595026
MLKH1_air_temp_low_24_hour,61.797469497367366
COOPKACH1_precip_accum_24_hour,0.03946986668112966
COOPLAHH1_precip_accum_24_hour,0.036327826747376085
COOPHNAH1_precip_accum_24_hour,0.21519742225277147
COOPMABH1_precip_accum_24_hour,0.11166566627028356
COOPKBSH1_precip_accum_24_hour,0.07535204850435887
COOPWUKH1_precip_accum_24_hour,0.0871325136071306
KPDH1_dew_point_temperature,65.13395204819935
KPDH1_wind_speed,5.891261049598502
KPDH1_wind_gust,13.213086879885477
KPDH1_precip_accum_24_hour,0.031945447252306455
KPDH1_peak_wind_direction,134.12734499360582
KPDH1_wind_direction,141.06690235561697
KPDH1_peak_wind_speed,13.213086879885477
KPDH1_air_temp,76.48307413834509
AP834_wind_speed,4.847208748084935
AP834_precip_accum_24_hour,0.18972254030346225
AP834_dew_point_temperature,63.648879232825784
WCCH1_precip_accum_24_hour,0.07855479727017263
AP834_wind_gust,8.096759096782703
AP834_air_temp,70.35980869733018
AP834_pressure,954.7977736554085
MLKH1_precip_accum_24_hour,0.10493584603047311
MLKH1_peak_wind_direction,118.66640317033037
MLKH1_wind_direction,129.0736569871031
MLKH1_peak_wind_speed,9.899975239145476
MLKH1_air_temp,66.85168449448882
MLKH1_dew_point_temperature,59.51963642212915
MLKH1_wind_gust,9.899975239145476
MLKH1_wind_speed,2.5990474435116684
PHMK_visibility,9.883161969612562
PHMK_pressure,1000.1548158352243
ULUH1_precip_accum_24_hour,0.08618225612203935
PHMK_precip_accum_24_hour,0.195110621242485
KPNH1_precip_accum_24_hour,0.06329458917835672
PHMK_wind_speed,8.86114531075285
PHMK_wind_direction,72.30513703283017
PHMK_air_temp,75.95444410865218
PHOG_air_temp,77.08648401040334
PHOG_pressure,1014.1546572814453
PHOG_wind_direction,79.62503876637197
PHOG_wind_speed,10.79652131539483
